"","OBJECTID","los","timing","threshold","geometry"
"79",28,0.000753489584112816,"During covid","30 min",c(-79.818234, 43.242437)
"80",29,0.000910339720665574,"During covid","30 min",c(-79.976727, 43.225224)
"81",30,0.000872787415579327,"During covid","30 min",c(-79.9523719, 43.2658393)
"82",31,0.000737382035481139,"During covid","30 min",c(-79.8719801, 43.2536445)
"83",32,0.00115717622759915,"During covid","30 min",c(-79.960556, 43.266825)
"84",33,0.000759860961027377,"During covid","30 min",c(-79.8724734, 43.2604869)
"85",34,0.000880488487074592,"During covid","30 min",c(-79.860673, 43.271051)
"86",35,0.000872580960137023,"During covid","30 min",c(-79.885424, 43.228533)
"87",36,0.00076426187289153,"During covid","30 min",c(-79.849517, 43.252412)
"88",37,0.000926985507489711,"During covid","30 min",c(-79.8967932, 43.3377658)
"89",38,0.000789751128556205,"During covid","30 min",c(-79.818323, 43.245227)
"90",39,0.000427856398200181,"During covid","30 min",c(-79.742425, 43.137289)
"91",40,0.000819384290411644,"During covid","30 min",c(-79.845343, 43.257636)
"92",41,0.0007216690627188,"During covid","30 min",c(-79.8652289, 43.2541738)
"93",42,0.000906509501030625,"During covid","30 min",c(-79.781034, 43.240017)
"94",44,0.000740584247883012,"During covid","30 min",c(-79.86679, 43.258883)
"95",45,0.000986914842419201,"During covid","30 min",c(-79.7561471, 43.247884)
"96",46,0.000753875013826913,"During covid","30 min",c(-79.845326, 43.249419)
"97",47,0.000783977220017436,"During covid","30 min",c(-79.863441, 43.243623)
"98",50,0.000777192395775865,"During covid","30 min",c(-79.864945, 43.257588)
"99",51,0.000740584247883012,"During covid","30 min",c(-79.86679, 43.258883)
"100",52,0.000790558920376374,"During covid","30 min",c(-79.862671, 43.259099)
"101",55,0.000759217934532363,"During covid","30 min",c(-79.871956, 43.259919)
"102",56,0.000862798588955998,"During covid","30 min",c(-79.885721, 43.229049)
"103",57,0.000815094143938763,"During covid","30 min",c(-79.842275, 43.258308)
