Tue Apr 20 2021 10:37:59 GMT-0400 (Eastern Daylight Time) - Run Time: 1321ms

Cross Tabulation Query Form - Person - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Age of person - age
Table: Income range of household - income


Filters:
Regional municipality of household - region_hhld In 6, 

Persons 2016
ROW : gta06_hhld
COLUMN : age

TABLE    : income ($0 to $14999)

  gta06_hhld         age      total
        5192          62         23
        5192          63         23
        5192          81         15
        5192          85         15
        5194          53         30
        5195          30         22
        5195          39         22
        5195          49         24
        5195          52         54
        5195          56         49
        5195          57         49
        5196          41         45
        5198          20         64
        5199          51         11
        5199          52         11
        5199          68         27
        5200          46         65
        5200          52         65
        5200          67         34
        5200          68         57
        5200          69         34
        5200          71         34
        5202          67         22
        5203          16         25
        5203          19          9
        5203          23         25
        5203          50         53
        5203          51         53
        5204           7         17
        5204          10         17
        5204          42         17
        5204          54         17
        5204          86         29
        5204          92         29
        5205          54         81
        5205          55         59
        5206           5        167
        5206          10        167
        5206          15        167
        5206          33        167
        5206          37        167
        5206          61         45
        5207          59         42
        5207          71         34
        5207          80         33
        5207          82         42
        5208          23         12
        5208          24         12
        5208          25         12
        5208          27         25
        5208          34         25
        5208          53         23
        5208          63        104
        5210          30         64
        5210          56         32
        5210          59         32
        5212          57         45
        5219          67         29
        5219          70         20
        5226          73         14
        5229          49         15
        5232          73         14
        5232          74         14
        5232          85         21
        5232          88         14
        5237          62         31
        5237          75         16
        5238          93         12
        5239           1         38
        5239           6         21
        5239          25         38
        5239          43         21
        5239          57         24
        5239          88         15
        5240          81         13
        5241          41          7
        5241          58         33
        5241          74         96
        5241          76         21
        5241          77         30
        5247          65         30
        5247          68         30
        5252          84         34

TABLE    : income ($15000 to $39999)

  gta06_hhld         age      total
        5001          59         13
        5001          75         13
        5002          21         85
        5002          54         85
        5002          58         28
        5002          65         40
        5002          69         40
        5002          80          7
        5002          82         28
        5002          84          7
        5002          94         14
        5003          19         25
        5003          45         21
        5003          50         25
        5003          72         41
        5003          90          7
        5005          25         11
        5005          35         68
        5005          58         20
        5005          61         32
        5005          63         11
        5007          70         23
        5007          71         23
        5007          73         21
        5007          74         21
        5007          77          7
        5007          78         14
        5007          83          7
        5008          67         34
        5011          66         20
        5011          67         20
        5016          55         40
        5016          60         40
        5016          62         34
        5020          49         15
        5020          56         15
        5020          75          7
        5020          81          7
        5020          85          7
        5030          51         28
        5030          56         28
        5030          82         10
        5032          10         60
        5032          16         60
        5032          27        103
        5032          39        103
        5032          40         60
        5032          48         60
        5032          59         59
        5032          61         48
        5032          64         29
        5032          68         29
        5032          71         29
        5032          77         23
        5033          68         78
        5035          30         21
        5035          60         42
        5040          55         34
        5041          13         35
        5041          15         35
        5041          43         35
        5041          51          8
        5041          53         35
        5041          56         33
        5041          59         21
        5041          60         15
        5041          62         21
        5041          63         15
        5041          65         31
        5041          66         23
        5041          67         31
        5041          69         33
        5041          71         24
        5041          83         28
        5041          84         28
        5041          86         31
        5041          88         48
        5041          94         48
        5044           6         16
        5044          38         16
        5044          48          8
        5044          58         15
        5044          59         15
        5044          65         16
        5044          68         16
        5044          70         17
        5045           0         44
        5045           5         36
        5045           6         20
        5045           7         44
        5045          12         36
        5045          14         36
        5045          15         36
        5045          31         66
        5045          34         44
        5045          38         20
        5045          42         36
        5045          49         36
        5045          52         24
        5045          53         24
        5045          54         20
        5045          66         20
        5045          67         23
        5045          74         20
        5045          78         26
        5045          79         20
        5045          83         20
        5045          90         23
        5046          10         30
        5046          20         64
        5046          24         64
        5046          40         33
        5046          45         30
        5046          58         94
        5046          60         33
        5046          65         31
        5046          75         14
        5046          77         14
        5047          11         16
        5047          14          8
        5047          46          8
        5047          69         71
        5047          72         11
        5047          73         15
        5047          74         15
        5047          78         25
        5047          79         11
        5047          80          7
        5047          81          7
        5047          82         34
        5047          84         50
        5048          47         14
        5048          54         14
        5050          10         33
        5050          15         33
        5050          17         33
        5050          20         33
        5050          22         38
        5050          23         38
        5050          24         73
        5050          45         33
        5050          49         33
        5050          50         45
        5050          51         38
        5050          54         40
        5050          55         40
        5050          57          8
        5050          58         12
        5050          59         44
        5050          60         27
        5050          62         38
        5050          65         16
        5050          68         16
        5050          72          9
        5050          73         14
        5050          74         17
        5050          78          8
        5050          81         11
        5050          82         25
        5050          83          8
        5050          87         11
        5050          90         11
        5051           8         26
        5051           9         26
        5051          10         59
        5051          16         26
        5051          33         59
        5051          37         26
        5051          47         26
        5051          63         36
        5051          68         36
        5051          71         26
        5051          75         26
        5052          64         47
        5052          77         19
        5053           6         14
        5053           7        108
        5053          12         14
        5053          22        108
        5053          40         14
        5053          46         14
        5053          47        108
        5053          60         18
        5053          64         18
        5053          72          7
        5055          78         16
        5055          79         16
        5056           5         41
        5056           9         41
        5056          30         41
        5056          33         40
        5056          38         41
        5056          40         49
        5056          46         25
        5056          62         49
        5056          66         40
        5056          73         65
        5057          17         63
        5057          23         65
        5057          30         65
        5057          33         50
        5057          38        156
        5057          39        100
        5057          40         35
        5057          53         65
        5057          56         38
        5057          66         87
        5057          67         74
        5057          69         13
        5057          71         26
        5057          72         13
        5057          73         56
        5057          75         12
        5057          81         12
        5057          82         12
        5057          90         13
        5058          26         48
        5058          28         48
        5058          46         37
        5058          50         48
        5058          63         20
        5058          64         19
        5058          71         32
        5058          73         22
        5058          76         68
        5058          77         20
        5058          78         20
        5058          79         46
        5058          81         19
        5058          82         20
        5058          83         20
        5058          91         50
        5058          92         20
        5059          49         41
        5059          75         12
        5059          83         19
        5059          85         19
        5059          88         10
        5059          96         19
        5059          97         19
        5060           1         85
        5060           6         85
        5060          21         61
        5060          23         61
        5060          27         85
        5060          30         85
        5060          32         61
        5060          56         61
        5060          57         85
        5060          59         61
        5060          60         85
        5060          72         51
        5061          56         42
        5061          65         46
        5061          67         17
        5061          72         23
        5061          74         17
        5061          82         18
        5061          86         17
        5061          90         17
        5065          82         59
        5065          92         12
        5066           2         27
        5066           5         27
        5066          16         27
        5066          19         33
        5066          38         27
        5066          41         33
        5066          46         23
        5066          66         64
        5066          71         30
        5066          72         30
        5066          73         22
        5066          74         22
        5066          80         33
        5066          81         20
        5066          82         72
        5066          85         23
        5067          64         14
        5067          70         14
        5067          76         11
        5067          78         14
        5067          80         16
        5068          22         63
        5068          41         19
        5068          58         63
        5068          59         63
        5068          60         61
        5068          64         30
        5068          66         26
        5068          67         67
        5068          68         19
        5068          69         20
        5068          70         19
        5068          72         20
        5068          73         56
        5068          76         60
        5068          77         35
        5068          79         35
        5068          81         35
        5068          86         25
        5069           0        151
        5069           4        151
        5069          13        151
        5069          21         58
        5069          24         29
        5069          29        151
        5069          36        151
        5069          49         58
        5069          54         46
        5069          56         25
        5069          62         86
        5069          63         25
        5069          67         18
        5069          69         29
        5069          70         18
        5069          71         19
        5069          76         17
        5069          81         42
        5069          85         17
        5069          86         24
        5069          90         50
        5071          63         14
        5071          66         12
        5071          67         14
        5071          75         12
        5071          94         14
        5073          14        125
        5073          21         63
        5073          41         63
        5074           2         44
        5074           3         44
        5074          22         61
        5074          24         61
        5074          34         44
        5074          35         44
        5074          41         61
        5074          51         52
        5074          52         42
        5074          85         23
        5074          87         25
        5075          14         71
        5075          23         71
        5075          24         71
        5075          26         46
        5075          47         71
        5075          50         71
        5075          52         46
        5076          54          8
        5076          55          8
        5076          64         17
        5076          66         17
        5076          73          8
        5077          70         14
        5077          72         14
        5079          70         60
        5079          75         40
        5079          79         40
        5079          85         24
        5079          89         24
        5081          66         17
        5081          68         17
        5081          76         11
        5081          77         11
        5081          90         15
        5082           9         36
        5082          18         38
        5082          22        168
        5082          51         38
        5082          52         38
        5082          55         32
        5082          61         33
        5082          62         33
        5082          64         72
        5082          79         34
        5082          80         25
        5082          85         34
        5082          86         38
        5084           3         16
        5084          27         16
        5084          41         16
        5084          42         27
        5084          72         27
        5086          10         56
        5086          45         17
        5086          50         56
        5086          52         11
        5086          54         56
        5086          65         17
        5086          69         22
        5086          70         47
        5086          71         28
        5086          74         30
        5086          76         11
        5086          77         17
        5086          80         14
        5086          81         23
        5086          82         23
        5086          85         16
        5086          86         16
        5087          71         28
        5087          73         28
        5087          93         25
        5088          76         14
        5088          81         17
        5088          89         17
        5089          26         36
        5089          49         31
        5089          54         47
        5089          55         32
        5089          56         36
        5089          59         36
        5089          73         31
        5089          74         20
        5089          76         25
        5089          82         23
        5089          88         23
        5090          61         25
        5090          67         25
        5090          68         21
        5090          77         21
        5090          78         22
        5091           3         90
        5091           7         90
        5091           8         90
        5091          20         51
        5091          26         51
        5091          32         90
        5091          37         90
        5091          55         51
        5091          65         26
        5091          68         41
        5091          70         28
        5091          72         26
        5091          73         27
        5091          75         28
        5091          76         28
        5091          78         75
        5092          23         42
        5092          50         42
        5092          55         44
        5092          64         48
        5092          65         42
        5092          70        102
        5092          71         22
        5092          72         24
        5092          77         41
        5092          85         16
        5092          88         24
        5092          94         16
        5093           7         57
        5093          12         12
        5093          26         57
        5093          46         12
        5093          56         21
        5093          67         60
        5093          72         28
        5093          81         24
        5093          87         10
        5094          48         53
        5094          69         54
        5094          72         54
        5094          73         18
        5094          75         53
        5094          80         15
        5094          83         15
        5094          88         12
        5094          93         12
        5094          98         15
        5095           4        109
        5095           7        109
        5095          10        109
        5095          14         33
        5095          19         33
        5095          28         30
        5095          33         43
        5095          39        109
        5095          41         33
        5095          43        109
        5095          49         33
        5095          56         23
        5095          59         43
        5095          60         28
        5095          67         16
        5095          68         35
        5095          70         20
        5095          73         26
        5095          75         20
        5095          76         47
        5095          77         40
        5095          78         75
        5095          79         20
        5095          84         48
        5095          85         18
        5096          42         24
        5096          54         45
        5096          62         26
        5096          67         68
        5096          68         24
        5096          71         20
        5096          76         23
        5096          86         20
        5096          87         26
        5096          91         20
        5096          92         19
        5097          35         61
        5097          55         63
        5097          64         44
        5098          14         58
        5098          18         58
        5098          20         58
        5098          40         58
        5098          72         68
        5098          79         27
        5098          86         26
        5099          45         54
        5099          48         54
        5099          50         37
        5099          63         51
        5099          69         93
        5099          71         63
        5099          73         96
        5099          74         49
        5099          75         10
        5099          77         44
        5099          79         92
        5099          82         62
        5099          83         17
        5099          84         25
        5099          86         17
        5099          87         10
        5099          89         25
        5099          99        198
        5100          61         20
        5100          65         20
        5100          72         14
        5100          77         14
        5101          53         29
        5101          75         29
        5101          78         46
        5101          89         25
        5102          26         38
        5102          37         27
        5102          43         50
        5102          45         23
        5102          56         38
        5102          59         53
        5102          61         26
        5102          63         26
        5102          64         25
        5102          67         27
        5102          70         16
        5102          71         16
        5102          74         24
        5102          75         24
        5102          84         50
        5104           3         25
        5104           7         25
        5104           9         25
        5104          15         61
        5104          24         80
        5104          26         67
        5104          41         61
        5104          45         13
        5104          46         25
        5104          62         23
        5104          63         40
        5104          65         24
        5104          66         33
        5104          67         27
        5104          68         37
        5104          69         13
        5104          72         42
        5104          73         49
        5104          74         27
        5104          75         68
        5104          81         18
        5104          82        104
        5104          86         24
        5104          87         24
        5105          16         47
        5105          44         47
        5105          56         21
        5105          67         14
        5105          82         14
        5106          20         65
        5106          32         14
        5106          47         65
        5106          61         37
        5106          65         16
        5106          67         31
        5106          71         33
        5106          75         10
        5106          78         21
        5106          79         26
        5106          80         10
        5106          82         10
        5106          83         10
        5106          84         14
        5106          85         10
        5106          86         14
        5106          87         16
        5107          58         20
        5107          60         20
        5107          66         16
        5107          70         47
        5107          76         27
        5107          86         37
        5109          52         45
        5109          85         15
        5109          88         15
        5110          11         32
        5110          42         16
        5110          61         20
        5110          62         20
        5110          63         24
        5110          68         24
        5110          69         23
        5110          74         23
        5110          75         21
        5110          80         42
        5110          82         41
        5110          84         21
        5110          88         21
        5110          90         21
        5110          91         21
        5110          92         50
        5111          21         64
        5111          25         64
        5111          43         42
        5111          50         31
        5111          56         25
        5111          58         15
        5111          59         25
        5111          60         25
        5111          64         25
        5111          66         15
        5111          68         31
        5111          70         22
        5111          71         15
        5111          72         31
        5111          73         32
        5111          74         17
        5111          75         26
        5111          78         26
        5111          79         22
        5111          92         15
        5113          17         36
        5113          52         36
        5113          57         36
        5113          66         23
        5113          74         23
        5113          75         23
        5113          79         23
        5114           7         21
        5114           9         21
        5114          43         21
        5114          78         58
        5114          80         27
        5114          82         27
        5115          58         24
        5115          60         24
        5115          78         35
        5115          84         19
        5115          89         35
        5116          32         45
        5116          58         25
        5116          81         13
        5116          85         13
        5116          87         13
        5116          90         45
        5117          66         22
        5118          17         57
        5118          19         57
        5118          25         57
        5118          47        106
        5118          50         57
        5118          51         18
        5118          55         51
        5118          58         33
        5118          63         78
        5118          65         47
        5118          66         33
        5118          67         28
        5118          68         19
        5118          74         18
        5118          78         23
        5118          79         18
        5118          80         23
        5119          57         66
        5120          27         28
        5120          30         27
        5120          62         27
        5120          66         20
        5120          71         40
        5120          75         18
        5120          79         41
        5120          82         41
        5120          87         19
        5121          11        110
        5121          14        110
        5121          16         45
        5121          17        110
        5121          18        110
        5121          19         45
        5121          21         45
        5121          47         45
        5121          48        110
        5121          58        110
        5121          66         19
        5121          67         19
        5121          75         21
        5121          78         29
        5122          12         84
        5122          14         84
        5122          15         84
        5122          36         43
        5122          50         84
        5122          53         84
        5122          57         41
        5122          60        125
        5122          62         31
        5122          65         22
        5122          70         74
        5122          88         37
        5122          92         84
        5122          97         31
        5123          16         20
        5123          19          9
        5123          23         96
        5123          24         24
        5123          28         96
        5123          31         68
        5123          32        144
        5123          34         20
        5123          36         42
        5123          41         54
        5123          43         56
        5123          50          9
        5123          51         42
        5123          52         42
        5123          54         24
        5123          60         34
        5123          61         84
        5123          62         96
        5123          64         96
        5123          65         83
        5123          68         64
        5123          69        103
        5123          72         30
        5123          73         23
        5123          76         30
        5123          79         36
        5123          81         36
        5125          14         33
        5125          36         46
        5125          49         33
        5125          54         41
        5125          60         26
        5125          81         44
        5125          83         41
        5125          84         21
        5127          13         20
        5127          22        115
        5127          23        127
        5127          25         26
        5127          30         46
        5127          38         20
        5127          50         25
        5127          51        161
        5127          52         46
        5127          53         62
        5127          54         24
        5127          56         46
        5127          58         44
        5127          59         22
        5127          62         25
        5127          66         46
        5127          68         26
        5127          70         20
        5127          71         21
        5127          72         22
        5127          75         19
        5127          77         88
        5127          86         19
        5129          56         18
        5129          57         22
        5129          70         31
        5129          79         19
