Thu Apr 15 2021 21:02:30 GMT-0400 (Eastern Daylight Time) - Run Time: 2260ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income
Table: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 

Trip 2016
ROW : gta06_hhld
COLUMN : income

TABLE    : mode_prime (Transit excluding GO rail)

  gta06_hhld      income      total
        5199           3        363
        5199           4        366
        5199           5        114
        5199           6         50
        5200           1        432
        5200           2        140
        5200           3         51
        5200           4        159
        5200           5         66
        5200           7         42
        5201           6        662
        5202           3         59
        5202           4        123
        5203           1        211
        5203           2         76
        5203           3         62
        5203           4        164
        5203           5         45
        5203           7        124
        5204           1         34
        5204           2        181
        5204           7        111
        5205           1        339
        5205           4         56
        5205           6        116
        5206           1        182
        5206           2        123
        5206           4         87
        5207           7        112
        5208           2        400
        5208           3        433
        5208           4        148
        5208           5        149
        5208           7        253
        5212           4        282
        5212           7         64
        5223           7         17
        5226           7         26
        5231           6         39
        5232           6         16
        5236           5        100
        5236           6         66
        5237           7        120
        5238           4         13
        5238           6         63
        5238           7        100
        5239           2         29
        5239           3         19
        5240           1         26
        5240           7         35
        5241           1         76
        5241           2        503
        5241           3        391
        5241           4        433
        5241           5        164
        5241           6        112
        5241           7        302
        5242           4        269
        5244           4         50
        5244           7         43
        5245           3         88
        5246           5        465
        5247           6         18
        5248           7         17
        5252           2         53

TABLE    : mode_prime (Cycle)

  gta06_hhld      income      total
        5005           4         45
        5032           2        119
        5046           3        115
        5046           6         79
        5050           2         16
        5051           6        168
        5051           7         39
        5052           4         69
        5053           4         47
        5057           4        108
        5059           7         57
        5065           7         47
        5068           5         95
        5069           3        111
        5079           5        286
        5081           6         52
        5081           7         48
        5093           4        312
        5094           7        112
        5095           3         48
        5095           4         44
        5095           6        113
        5100           6         67
        5102           1         93
        5105           3         32
        5110           3         37
        5111           4         71
        5111           7         34
        5121           6        239
        5122           7         49
        5127           2        101
        5130           2        129
        5131           6         69
        5133           4         59
        5135           5         65
        5139           3         31
        5140           4         79
        5143           2         35
        5148           2         52
        5149           3        426
        5150           2         53
        5150           3         70
        5150           4        167
        5154           7         73
        5156           2         46
        5157           2         22
        5157           7         24
        5158           3        227
        5158           4         93
        5158           6        369
        5159           3         90
        5159           6         62
        5161           2        228
        5162           2         56
        5162           3         97
        5164           2        197
        5164           3        266
        5164           6         32
        5165           5         80
        5165           7        160
        5166           1        196
        5166           6        170
        5167           4        228
        5167           5         48
        5167           6         61
        5167           7         62
        5168           3        106
        5171           3         57
        5172           2        127
        5174           4        176
        5174           5        188
        5174           6        407
        5175           1         92
        5175           2        390
        5175           4        215
        5179           4         62
        5179           5         73
        5180           3         89
        5180           4        117
        5181           1         74
        5181           2        127
        5182           4        118
        5183           2        606
        5186           1        197
        5186           2         42
        5186           4         61
        5187           4         47
        5188           2        182
        5191           1         69
        5191           6        140
        5192           2         33
        5194           2        106
        5194           4        132
        5196           1         90
        5196           3        297
        5196           4         47
        5196           7         76
        5198           3         69
        5200           2         80
        5200           4        118
        5200           6         71
        5201           2         17
        5201           6        265
        5202           2         81
        5202           7        163
        5203           3         83
        5203           4         93
        5203           5         35
        5203           6         41
        5203           7        151
        5204           3         39
        5204           4         11
        5204           5         43
        5205           6        497
        5206           2        119
        5207           6         54
        5208           4         56
        5208           5         99
        5208           6         35
        5223           2         25
        5226           6        124
        5230           7         27
        5252           2         43

TABLE    : mode_prime (Auto driver)

  gta06_hhld      income      total
        5001           2         40
        5001           4        232
        5001           5        493
        5001           7        747
        5002           2        426
        5002           3       1009
        5002           4        163
        5002           5        165
        5002           6        551
        5002           7        642
        5003           2        245
        5003           4        282
        5003           5         26
        5003           7        234
        5004           4        196
        5004           5        949
        5004           6        369
        5004           7        958
        5005           2        231
        5005           3       1143
        5005           4       1463
        5005           5       1260
        5005           6       5006
        5005           7        284
        5006           7         53
        5007           2        178
        5007           3         38
        5007           4         63
        5007           5        376
        5007           6       1043
        5007           7        196
        5008           2        101
        5008           3        285
        5008           4        149
        5008           5        269
        5009           3        311
        5009           4       2091
        5009           5       1226
        5009           6        942
        5009           7        630
        5010           1         17
        5011           2         40
