gta06_hhld,age,population,income
5186,60,58,1
5186,63,58,1
5186,70,49,1
5187,19,8,1
5187,23,516,1
5187,26,157,1
5187,35,57,1
5187,53,35,1
5187,55,49,1
5187,56,35,1
5187,57,49,1
5187,60,49,1
5187,61,49,1
5187,63,35,1
5187,69,23,1
5187,88,15,1
5191,65,34,1
5191,85,34,1
5192,22,95,1
5192,35,28,1
5192,45,26,1
5192,62,23,1
5192,63,23,1
5192,81,15,1
5192,85,15,1
5194,53,30,1
5195,30,22,1
5195,39,22,1
5195,49,24,1
5195,52,54,1
5195,56,49,1
5195,57,49,1
5196,41,45,1
5198,20,64,1
5199,51,11,1
5199,52,11,1
5199,68,27,1
5200,46,65,1
5200,52,65,1
5200,67,34,1
5200,68,57,1
5200,69,34,1
5200,71,34,1
5202,67,22,1
5203,16,25,1
5203,19,9,1
5203,23,25,1
5203,50,53,1
5203,51,53,1
5204,7,17,1
5204,10,17,1
5204,42,17,1
5204,54,17,1
5204,86,29,1
5204,92,29,1
5205,54,81,1
5205,55,59,1
5206,5,167,1
5206,10,167,1
5206,15,167,1
5206,33,167,1
5206,37,167,1
5206,61,45,1
5207,59,42,1
5207,71,34,1
5207,80,33,1
5207,82,42,1
5208,23,12,1
5208,24,12,1
5208,25,12,1
5208,27,25,1
5208,34,25,1
5208,53,23,1
5208,63,104,1
5210,30,64,1
5210,56,32,1
5210,59,32,1
5212,57,45,1
5219,67,29,1
5219,70,20,1
5226,73,14,1
5229,49,15,1
5232,73,14,1
5232,74,14,1
5232,85,21,1
5232,88,14,1
5237,62,31,1
5237,75,16,1
5238,93,12,1
5239,1,38,1
5239,6,21,1
5239,25,38,1
5239,43,21,1
5239,57,24,1
5239,88,15,1
5240,81,13,1
5241,41,7,1
5241,58,33,1
5241,74,96,1
5241,76,21,1
5241,77,30,1
5247,65,30,1
5247,68,30,1
5252,84,34,1
5001,59,13,2
5001,75,13,2
5002,21,85,2
5002,54,85,2
5002,58,28,2
5002,65,40,2
5002,69,40,2
5002,80,7,2
5002,82,28,2
5002,84,7,2
5002,94,14,2
5003,19,25,2
5003,45,21,2
5003,50,25,2
5003,72,41,2
5003,90,7,2
5005,25,11,2
5005,35,68,2
5005,58,20,2
5005,61,32,2
5005,63,11,2
5007,70,23,2
5007,71,23,2
5007,73,21,2
5007,74,21,2
5007,77,7,2
5007,78,14,2
5007,83,7,2
5008,67,34,2
5011,66,20,2
5011,67,20,2
5016,55,40,2
5016,60,40,2
5016,62,34,2
5020,49,15,2
5020,56,15,2
5020,75,7,2
5020,81,7,2
5020,85,7,2
5030,51,28,2
5030,56,28,2
